date,year,month,day,day_of_week,week_number,quarter,day_of_year,is_weekend,climate_zone,temperature,rainfall_mm,humidity,soil_moisture,harvest_quantity,stock_available,transport_cost,market_demand_index,price
1950-01-01,1950,1,1,6,52,1,1,1,Southern,23.764066642955317,2.97249943623955,68.87860537220485,38.65638998373847,3842.465865261723,1499.1481113942825,143.97256677022523,0.7776394205445317,250
1950-01-02,1950,1,2,0,1,1,2,0,Kigali,27.285830525205604,0.29847657700820973,62.77955104949709,36.44306700765738,3630.918851938275,1275.064194496549,125.75866608343729,0.7473960441898218,250
1950-01-02,1950,1,2,0,1,1,2,0,Northern,20.349802758549068,0.6749863587480729,56.797458170009676,43.01877853277702,6315.435728574944,6914.347198914445,234.77881260743405,0.9038366722466682,200
1950-01-02,1950,1,2,0,1,1,2,0,Western,18.203593408843645,0.7022171394643509,54.298828846755654,37.31049704890281,7127.952790228617,6338.695765273316,233.89289372185834,0.7982482271727107,200
1950-01-02,1950,1,2,0,1,1,2,0,Eastern,26.63802103527384,0.9636469388627219,54.61385133185516,43.94785930499544,9886.527681831503,2999.0429170759876,131.83402957169116,0.6842591675430472,200
1950-01-02,1950,1,2,0,1,1,2,0,Eastern,22.673723851156165,1.089930337287441,64.19186212609588,41.2904674567064,9887.948306642886,6223.270385091519,155.78413814376606,0.818557281321208,200
1950-01-02,1950,1,2,0,1,1,2,0,Eastern,25.19092953516621,0.13216081973705812,63.82899027443497,29.918960010780523,9140.81647937489,5797.487479246573,166.41893427401396,0.6010438515046874,200
1950-01-02,1950,1,2,0,1,1,2,0,Kigali,24.30685384961016,0.8152057523605528,59.5185815886881,45.569475953099634,2322.5252050588997,849.2906913672116,91.93453295783488,0.6905022023066179,300
1950-01-03,1950,1,3,1,1,1,3,0,Northern,20.689231140208733,0.1343990361224709,61.93519540265454,52.791701103279834,6453.814931399622,6286.013347405976,284.4769092753279,0.8614224960423367,250
1950-01-03,1950,1,3,1,1,1,3,0,Northern,17.29962056854652,0.4575388705010366,67.86584331865356,45.347020959713035,5207.077425525862,5558.686659963517,258.5856507763901,0.9765157096235045,250
1950-01-03,1950,1,3,1,1,1,3,0,Eastern,23.955280699725222,0.45776578589158085,63.85512214918378,31.661359056437256,9644.546899304172,3740.8764269680296,148.31854825691076,0.8263284570381771,200
1950-01-03,1950,1,3,1,1,1,3,0,Kigali,21.145708279799802,0.35067182829142163,60.74135311363503,32.796504998975145,3520.5381739593367,4220.984239182182,109.45852850526313,0.7999295045874327,250
1950-01-03,1950,1,3,1,1,1,3,0,Kigali,24.180599312214166,0.2006310998143659,70.4660616752315,33.37147005717637,4221.234220982223,4031.4032728407683,95.86846847164436,0.8218458562481277,200
1950-01-04,1950,1,4,2,1,1,4,0,Eastern,23.172304623340352,0.21859286712629167,62.93583550595973,35.25694580232522,9702.619210086792,8527.450054174651,175.3157260265676,0.8176866543953785,200
1950-01-04,1950,1,4,2,1,1,4,0,Eastern,21.313793994081095,0.3278913818155739,60.86371283192595,43.239949493562264,6112.521834324054,4707.197486589751,133.55413000331333,0.7570015653113443,200
1950-01-04,1950,1,4,2,1,1,4,0,Eastern,25.56743144245451,0.681073933808624,50.67579065438657,47.424266840555966,8142.633485743371,4688.014561977794,163.41638692140563,0.7700856232452933,200
1950-01-04,1950,1,4,2,1,1,4,0,Southern,20.598960862165974,1.6679111510254412,59.31977916072865,40.156875556364874,7763.104321003127,3988.0549966856684,200.63139082546752,0.7179675886824387,200
1950-01-04,1950,1,4,2,1,1,4,0,Western,21.701967656560576,0.6783785149028753,57.34149302226169,45.650575940309466,8950.085251445338,10195.93567745166,201.73272232494358,0.7239591678176908,200
1950-01-04,1950,1,4,2,1,1,4,0,Western,20.39460935337435,1.6114934410932555,56.10409288464294,54.734367591878765,8198.709298346466,8285.656301933908,222.43989870468172,0.6748605446274135,200
1950-01-05,1950,1,5,3,1,1,5,0,Southern,23.801858805505226,0.20467185945907415,65.26127068655684,43.74110987373741,4889.653425055054,4150.411227486801,181.6214541533443,0.654878477313504,200
1950-01-05,1950,1,5,3,1,1,5,0,Northern,21.73929740211398,1.5773408828015945,60.73657844845992,35.994286217208426,5923.718722228216,2744.10665449977,287.9049596485319,0.6622187525681996,250
1950-01-05,1950,1,5,3,1,1,5,0,Eastern,24.856909457199126,0.17071988482519837,57.48394497583113,39.765032537067746,8612.332133252763,4290.31090502048,142.34203432021317,0.760185526756591,200
1950-01-06,1950,1,6,4,1,1,6,0,Southern,22.338848234630373,0.5739762195505614,52.97072070814436,35.80391761829417,6153.731982628832,4173.062156382251,153.81235580386613,0.8388336255424799,200
1950-01-06,1950,1,6,4,1,1,6,0,Southern,21.838842796501154,0.24825037930968527,69.22639982196358,60.810520090578265,5834.056622879862,5403.914327250749,190.66033722024608,0.8998944488095493,200
1950-01-07,1950,1,7,5,1,1,7,1,Western,19.69256483122249,0.7375712606990599,59.9874709923927,42.338292697352514,4547.954719597188,4866.335330047286,238.97359213825825,0.8240671678260354,250
1950-01-07,1950,1,7,5,1,1,7,1,Kigali,22.617764022703295,1.9961567683399053,55.23406179543545,42.915511964864876,2176.7396348004954,2388.3902287410874,97.45300177432365,0.7235684128901135,250
1950-01-07,1950,1,7,5,1,1,7,1,Eastern,25.217585558106165,0.24811641668618878,54.430806136967256,40.94240057124623,5515.945960521228,3364.171685321959,159.75171394459943,0.8503797247229241,200
1950-01-07,1950,1,7,5,1,1,7,1,Western,24.431902514386408,2.960394759832469,64.62690545886129,57.905777609571885,3879.4963079137506,1647.378135780829,226.14065648269766,0.6920695072516856,250
1950-01-08,1950,1,8,6,1,1,8,1,Western,22.35638465122642,0.8807161910403716,50.23047110861964,44.06602810621504,5468.854378518625,5501.471062923805,232.74229143889428,0.5090677837585931,200
1950-01-08,1950,1,8,6,1,1,8,1,Eastern,25.57251623840626,0.7535066965931211,61.810740674453555,39.610630986427594,3996.720641065352,4555.894154300304,157.4649101477318,0.7621371704670451,200
1950-01-09,1950,1,9,0,2,1,9,0,Northern,20.338275806747387,1.7687070524220971,59.77063607776136,34.81617443312665,5755.398635880125,4459.621573276859,296.9533036134509,0.8407971062160521,250
1950-01-09,1950,1,9,0,2,1,9,0,Eastern,25.28940084544976,0.8091998620462673,61.57920803886915,44.59848923868434,10536.156079711482,4507.311970845536,127.8600498925811,0.6551871902031565,200
1950-01-09,1950,1,9,0,2,1,9,0,Eastern,21.278221298512147,0.7365312091668192,57.58798502672863,42.10756250910603,8582.047882268169,8038.523958253571,176.2490645964438,0.7822341689899345,200
1950-01-09,1950,1,9,0,2,1,9,0,Kigali,22.417168417266907,0.08302446923701469,55.18802174636125,32.67126829650706,3730.942066749132,1834.8749346058917,120.72999292109006,0.7856838699923646,250
